Atl	Acr	Btl	Bcr	Err	Deg	R	T0	T1	X	T3	T4	Y
4	1	9	1	0	0.000000	3.485305	1.000000	0.000000	1143.861874	0.000000	1.000000	-4.925658
4	1	3	1	0	0.000000	2.267776	1.000000	0.000000	3.069973	0.000000	1.000000	863.972621
4	1	5	1	0	0.000000	3.671454	1.000000	0.000000	-3.134139	0.000000	1.000000	-860.377567
3	1	10	1	0	0.000000	3.035904	1.000000	0.000000	1143.503284	0.000000	1.000000	-11.732974
3	1	2	1	0	0.000000	3.984171	1.000000	0.000000	2.900144	0.000000	1.000000	855.177693
5	1	8	1	0	0.000000	4.478485	1.000000	0.000000	1143.950309	0.000000	1.000000	-4.643409
5	1	6	1	0	0.000000	4.101291	1.000000	0.000000	-3.279788	0.000000	1.000000	-857.264938
9	1	10	1	0	0.000000	3.775634	1.000000	0.000000	2.848725	0.000000	1.000000	857.127789
9	1	8	1	0	0.000000	4.276658	1.000000	0.000000	-3.002219	0.000000	1.000000	-860.073532
10	1	11	1	0	0.000000	4.188353	1.000000	0.000000	3.093919	0.000000	1.000000	862.184616
2	1	11	1	0	0.000000	4.119785	1.000000	0.000000	1143.863800	0.000000	1.000000	-4.517510
2	1	1	1	0	0.000000	5.260178	1.000000	0.000000	2.996373	0.000000	1.000000	857.121298
8	1	7	1	0	0.000000	4.709284	1.000000	0.000000	-3.091725	0.000000	1.000000	-856.971958
11	1	12	1	0	0.000000	5.103667	1.000000	0.000000	3.017563	0.000000	1.000000	857.468713
6	1	7	1	0	0.000000	3.393205	1.000000	0.000000	1144.150442	0.000000	1.000000	-4.209689
1	1	12	1	0	0.000000	4.027974	1.000000	0.000000	1143.878505	0.000000	1.000000	-4.137828
1	1	0	1	0	0.000000	5.037747	1.000000	0.000000	2.975209	0.000000	1.000000	857.265107
12	1	13	1	0	0.000000	2.766482	1.000000	0.000000	2.893602	0.000000	1.000000	861.154571
0	1	13	1	0	0.000000	5.747808	1.000000	0.000000	1143.921507	0.000000	1.000000	-0.452453
