Atl	Acr	Btl	Bcr	Err	Deg	R	T0	T1	X	T3	T4	Y
13	1	0	1	2	1.301135	0.192385	1.001502	-0.023510	0.000000	0.022098	1.006512	0.000000
13	1	1	1	2	1.278402	0.000000	1.001501	-0.022404	0.000000	0.022362	1.004501	0.000000
12	1	1	1	2	1.268768	0.000000	1.001650	-0.021903	0.000000	0.022528	1.004463	0.000000
13	1	12	1	0	1.269962	0.778992	1.001712	-0.022467	-121.775918	0.022017	1.004905	-707.700698
13	1	13	1	0	1.289539	1.195936	1.001636	-0.023315	-117.262218	0.021900	1.006982	148.044852
12	1	12	1	0	1.260360	1.006295	1.001862	-0.021966	-137.245582	0.022184	1.004866	162.549379
12	1	11	1	0	1.258683	0.819531	1.001838	-0.021986	-142.091266	0.022104	1.004834	-693.042351
12	1	2	1	2	1.258881	0.000000	1.001307	-0.021651	0.000000	0.022441	1.005141	0.000000
11	1	11	1	0	1.269855	1.257611	1.001952	-0.022298	-157.186366	0.022177	1.004428	173.175899
11	1	10	1	0	1.245655	1.254795	1.001891	-0.021635	-159.865177	0.022009	1.005264	-683.546873
11	1	2	1	2	1.270026	0.000000	1.001421	-0.021962	0.000000	0.022514	1.004735	0.000000
10	1	3	1	2	1.265051	0.000000	1.001635	-0.022318	0.000000	0.021983	1.004488	0.000000
10	1	9	1	0	1.251138	1.111657	1.002168	-0.021718	-178.803025	0.022104	1.004338	-673.377630
10	1	10	1	0	1.249908	1.267022	1.002110	-0.022176	-175.644908	0.021602	1.004355	186.072943
9	1	9	1	0	1.202818	1.576997	1.001664	-0.020145	-194.570635	0.021985	1.004887	188.855778
9	1	8	1	0	1.214472	1.441843	1.001625	-0.020666	-198.072579	0.021860	1.004345	-666.366032
8	1	8	1	0	1.233797	1.906724	1.001834	-0.021389	-211.825952	0.021819	1.004374	198.584589
8	1	7	1	0	1.297161	1.617266	1.001647	-0.023566	-212.935474	0.021820	1.002716	-656.773610
7	1	7	1	0	1.312682	1.529895	1.001872	-0.024396	-228.487588	0.021556	1.003484	204.259060
6	1	7	1	0	1.330650	1.071538	1.003858	-0.024704	918.443189	0.021929	1.003727	226.938766
5	1	8	1	0	1.254422	1.347442	1.003884	-0.021890	934.136720	0.022094	1.004766	221.073235
5	1	7	1	0	1.317757	1.050969	1.003696	-0.024068	933.198366	0.022095	1.003107	-634.857911
6	1	6	1	0	1.312900	1.536955	1.003184	-0.024772	-228.207221	0.021222	1.003672	234.926651
5	1	6	1	0	1.299994	1.224241	1.003022	-0.024135	-211.257238	0.021389	1.003053	-627.271777
4	1	9	1	0	1.191554	0.773786	1.003383	-0.019559	950.857279	0.022207	1.004642	212.110289
5	1	5	1	0	1.244509	1.597023	1.003268	-0.021935	-211.618907	0.021690	1.004861	232.380238
4	1	8	1	0	1.203168	0.899538	1.003344	-0.020079	948.204471	0.022082	1.004100	-644.205628
4	1	5	1	0	1.193236	1.316444	1.002728	-0.020124	-199.060667	0.021678	1.004194	-634.428592
3	1	10	1	0	1.235441	0.665551	1.002759	-0.022064	972.059794	0.021217	1.004163	205.091943
4	1	4	1	0	1.193169	1.364828	1.003027	-0.019835	-196.682076	0.021972	1.004248	226.569727
3	1	9	1	0	1.236672	0.436513	1.002817	-0.021606	967.505335	0.021719	1.004146	-657.120463
2	1	11	1	0	1.265270	0.755546	1.002313	-0.022877	990.194178	0.021450	1.004639	199.127420
3	1	4	1	0	1.238333	0.957756	1.002461	-0.021882	-178.422503	0.021485	1.003752	-639.572954
3	1	3	1	0	1.250608	1.137938	1.002283	-0.022207	-174.089621	0.021598	1.004296	219.074676
2	1	10	1	0	1.241050	0.740995	1.002252	-0.022213	987.784012	0.021282	1.005475	-657.706979
2	1	3	1	0	1.256211	0.997461	1.001777	-0.022356	-159.682571	0.021663	1.005608	-642.439448
2	1	2	1	0	1.265441	0.949542	1.001782	-0.022541	-154.432177	0.021787	1.004945	206.645752
1	1	1	1	0	1.261512	1.175365	1.001886	-0.022155	-137.251552	0.022021	1.004190	205.974315
1	1	12	1	0	1.253106	1.003671	1.002098	-0.022218	1010.131986	0.021677	1.004593	191.105093
1	1	11	1	0	1.251429	0.350095	1.002074	-0.022238	981.959269	0.021597	1.004561	-595.650579
1	1	2	1	0	1.251626	1.073639	1.001543	-0.021903	-138.700603	0.021934	1.004868	-650.886213
0	1	1	1	0	1.269960	0.684877	1.001637	-0.022560	-119.706014	0.021912	1.004442	-655.661414
0	1	0	1	0	1.292701	0.939447	1.001639	-0.023666	-113.470387	0.021648	1.006452	196.000179
0	1	13	1	0	1.281079	0.754135	1.001773	-0.023471	1030.004607	0.021449	1.006922	180.973599
0	1	12	1	2	1.261523	0.217632	1.001849	-0.022623	0.000000	0.021567	1.004846	0.000000
